Id,SalePrice
1461,126607.40507482909
1462,155075.89578415023
1463,183852.2571743405
1464,192325.45698415497
1465,184613.42737379888
1466,173498.14941669785
1467,178228.43169028615
1468,165797.65422243063
1469,190802.62916143754
1470,121552.70166167214
1471,194614.60924313715
1472,96077.73144526928
1473,92889.08332448667
1474,151878.55795697944
1475,124522.34075626108
1476,378878.3323900373
1477,255503.29656858137
1478,279425.72210562264
1479,256774.22630428238
1480,454594.74748916645
1481,324860.7887633656
1482,201903.3297449116
1483,166001.75972691167
1484,162506.46462972535
1485,179548.32048457436
1486,193379.27191084134
1487,347096.7062457513
1488,237170.31344478572
1489,201918.26895797756
1490,220994.27862299298
1491,190059.26344721572
1492,89245.38165134894
1493,175958.1664631822
1494,291551.16689298174
1495,294674.2417764467
1496,231961.49764263703
1497,187021.8191648922
1498,157672.93880511806
1499,159422.334174018
1500,148691.92634416028
1501,173378.85080520064
1502,145110.97988512611
1503,301849.33535849303
1504,242927.3503477168
1505,226419.06985534154
1506,185059.90648668577
1507,240498.75013643154
1508,209129.66599258658
1509,155029.01185426957
1510,147372.28964925473
1511,145875.84628198863
1512,175080.52227026905
1513,150799.08375019234
1514,157014.56832276305
1515,182130.24122793562
1516,149705.60862130157
1517,165398.65514776605
1518,135614.55549447527
1519,215561.1528051223
1520,133654.07400352505
1521,133380.66048937078
1522,183484.81148094428
1523,106733.92443163482
1524,125602.01638704278
1525,125007.32009864865
1526,120304.26602367216
1527,108731.01492293447
1528,126176.95815643338
1529,148094.97192632355
1530,172415.91712807104
1531,109060.37067564484
1532,98370.62472675231
1533,148602.53941460626
1534,119145.91849589061
1535,142962.8833595846
1536,110705.07561217212
1537,72688.32528487292
1538,144195.38633529714
1539,201145.8005668619
1540,93808.13531772672
1541,140828.60430320236
1542,136957.55796932557
1543,190111.83586031554
1544,83115.05093825291
1545,112700.08317081479
1546,134711.22465909037
1547,134961.65480350069
1548,137752.2371612418
1549,110468.981822569
1550,141308.04893341733
1551,113372.57838085447
1552,139886.8141047632
1553,145461.56378522122
1554,115645.45366778556
1555,164338.85684462416
1556,78806.31972222193
1557,98574.6630121017
1558,93400.72035336251
1559,80547.67277117833
1560,137699.3439597303
1561,125271.17270069521
1562,128131.92282603466
1563,123874.76475938995
1564,156910.40107705022
1565,144364.77972099095
1566,245780.2803426884
1567,72158.85510767908
1568,226576.40687294904
1569,134980.79132085497
1570,141362.28400529234
1571,115049.07663007673
1572,143111.2523300607
1573,240516.34007459885
1574,108702.78784778225
1575,215498.3716514053
1576,230182.55509641813
1577,187715.69562758156
1578,144581.81224051665
1579,141091.01379501715
1580,194990.32177778718
1581,153337.00607850857
1582,128187.60012506634
1583,312283.43719162844
1584,224169.4419838169
1585,140695.51179909203
1586,66667.40966432575
1587,106740.51310151814
1588,149113.90386521927
1589,89952.0855678831
1590,137288.76116969058
1591,91356.9760348206
1592,101476.23407294741
1593,129059.76744017159
1594,139201.63261037852
1595,109031.31594893111
1596,237928.0842097572
1597,179993.65731001893
1598,215377.35593422502
1599,176621.4659881161
1600,173391.8402418405
1601,63749.00146975869
1602,117858.65120475751
1603,75598.67329124227
1604,262664.0324107004
1605,258627.79792381998
1606,175808.19352364895
1607,162643.2690251787
1608,217584.54742437322
1609,189713.64018483693
1610,148227.1462157378
1611,136979.72103225256
1612,161273.36824960797
1613,160828.0002854723
1614,133705.66121076408
1615,89584.89167494423
1616,72291.62080264205
1617,93345.17401357085
1618,119227.65493767946
1619,141161.257125713
1620,149404.55560753716
1621,131182.6454493911
1622,138407.4094831218
1623,287901.59472659073
1624,215786.2571484102
1625,127038.65292166904
1626,167114.353239681
1627,188942.5490098425
1628,276757.70117559575
1629,179872.3551012278
1630,340876.45615106274
1631,223402.5994982843
1632,244376.83794037587
1633,168637.25531666944
1634,187958.26417247846
1635,181459.00464057425
1636,153109.2193863542
1637,200857.55225281426
1638,194792.71166579402
1639,176017.73477780473
1640,256870.77267286854
1641,173775.35339331988
1642,224022.40984944807
1643,232481.1394755632
1644,230891.8321225219
1645,193567.20873087322
1646,158550.2267257263
1647,157892.98054424932
1648,130378.6934591588
1649,140155.9064941673
1650,117778.0321929066
1651,118363.38333815672
1652,101297.9687179553
1653,102510.49431078622
1654,151285.3226666556
1655,152041.7909746603
1656,147447.48768368646
1657,152215.6578024141
1658,148524.07010843445
1659,130798.67280583436
1660,150373.74665352955
1661,405249.003931685
1662,412207.607594797
1663,397194.1862436624
1664,404696.3184668052
1665,275266.17943809665
1666,322702.65012760105
1667,351120.45508759795
1668,340408.71687681973
1669,304428.441805169
1670,356121.47796719655
1671,244303.25944812834
1672,423016.14187711274
1673,289597.62560813007
1674,242528.7549851164
1675,179152.74724392273
1676,185514.25157415873
1677,204427.3006059676
1678,409604.0401843214
1679,371534.5664718842
1680,360553.1475925883
1681,248841.49929957156
1682,302689.56723021023
1683,172198.3401547303
1684,174970.4941024164
1685,174757.166434911
1686,167678.0658584823
1687,169550.5803435289
